step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,25,1,1.0263034710302112,0.0,0.0,1.0792060225319196,0.0,0.0,,,,,,
2,42,2,1.4521698695943632,0.0,0.0,,,,,,,,,
3,67,3,0.9743958664771344,0.0,0.0,,,,,,,,,
4,100,4,0.6295560928164196,0.0,0.0,,,,,,,,,
5,133,5,0.5549913190529333,0.0,0.0,,,,,,,,,
6,158,6,0.4445406935559489,0.0,0.0,,,,,,,,,
7,183,7,0.4280048840432816,0.0,0.0,,,,,,,,,
8,200,8,0.3286378184855857,0.0,0.0,,,,,,,,,
9,217,9,0.33215540894074363,0.0,0.0,0.07365719072675952,1.0,1.0,,,,,,
10,242,10,0.10609726338559994,0.0,0.0,,,,,,,,,
11,267,11,0.042747105086067064,1.0,1.0,,,,,,,,,
12,292,12,0.02963334223565956,1.0,1.0,,,,,,,,,
13,317,13,0.20614850140196117,0.0,0.0,,,,,,,,,
14,350,14,0.13365579025878105,0.0,0.0,,,,,,,,,
15,375,15,0.14566678269223,0.0,0.0,,,,,,,,,
16,400,16,0.0937247299554292,0.0,0.0,,,,,,,,,
17,425,17,0.06598310734611004,0.0,0.0,0.0807214285666123,0.0,0.0,,,,,,
18,450,18,0.06759855363207558,1.0,1.0,,,,,,,,,
19,475,19,0.09682908196467906,0.0,0.0,,,,,,,,,
20,500,20,0.07453270546315857,0.0,0.0,,,,,,,,,
21,517,21,0.08797376512316987,0.0,0.0,,,,,,,,,
22,550,22,0.04972071602707729,1.0,1.0,,,,,,,,,
23,575,23,0.07059942727908491,0.0,0.0,,,,,,,,,
24,600,24,0.07948433251430591,0.0,0.0,,,,,,,,,
25,625,25,0.055230350396595886,1.0,1.0,0.04920740049953262,1.0,1.0,,,,,,
26,650,26,0.03942806622711942,1.0,1.0,,,,,,,,,
27,683,27,0.05842121855326696,0.0,0.0,,,,,,,,,
28,708,28,0.04147123124605666,1.0,1.0,,,,,,,,,
29,741,29,0.03383195655711461,1.0,1.0,,,,,,,,,
30,766,30,0.039951696974846226,1.0,1.0,,,,,,,,,
31,791,31,0.040465824538841844,1.0,1.0,,,,,,,,,
32,816,32,0.037748647835105655,1.0,1.0,,,,,,,,,
33,849,33,0.03245773587575968,1.0,1.0,0.03534266583854332,1.0,1.0,,,,,,
34,890,34,0.025489262949675323,1.0,1.0,,,,,,,,,
35,931,35,0.10023088974505663,0.0,0.0,,,,,,,,,
36,948,36,0.09663263050024398,0.0,0.0,,,,,,,,,
37,981,37,0.028989959479076788,1.0,1.0,,,,,,,,,
38,998,38,0.17920180027838797,0.0,0.0,,,,,,,,,
39,1079,39,0.032485182630829515,1.0,1.0,,,,,,,,,
40,1104,40,0.03515779309382196,1.0,1.0,,,,,,,,,
41,1121,41,0.031157640189630912,1.0,1.0,0.028590016989425444,1.0,1.0,,,,,,
42,1154,42,0.07377622263506055,0.0,0.0,,,,0.6363636255264282,0.6363636363636364,1.0,0.8571428571428571,0.9179705215419501,0.7777777777777778
43,1187,43,0.0365207500665565,1.0,1.0,,,,,,,,,
44,1212,44,0.022456110794252405,1.0,1.0,,,,,,,,,
45,1237,45,0.05684093120837738,0.0,0.0,,,,,,,,,
46,1270,46,0.057961254334950356,0.0,0.0,,,,,,,,,
47,1303,47,0.025633634400328446,1.0,1.0,,,,,,,,,
48,1328,48,0.026751084237669906,1.0,1.0,,,,,,,,,
49,1353,49,0.0834089984789413,0.0,0.0,0.11592038335162215,0.0,0.0,,,,,,
50,1378,50,0.026386225517877993,1.0,1.0,,,,,,,,,
51,1403,51,0.026696946203010153,1.0,1.0,,,,,,,,,
52,1428,52,0.061169300484859065,0.0,0.0,,,,,,,,,
53,1453,53,0.0679293448330524,0.0,0.0,,,,,,,,,
54,1478,54,0.032873655126701734,1.0,1.0,,,,,,,,,
55,1495,55,0.022814307780354284,1.0,1.0,,,,,,,,,
56,1512,56,0.04963901998300571,1.0,1.0,,,,,,,,,
57,1537,57,0.02253409528930206,1.0,1.0,0.02349491557601141,1.0,1.0,,,,,,
58,1570,58,0.025792863704627963,1.0,1.0,,,,,,,,,
59,1595,59,0.03528359173331409,1.0,1.0,,,,,,,,,
60,1620,60,0.03059417865277889,1.0,1.0,,,,,,,,,
61,1653,61,0.03205234800087055,1.0,1.0,,,,,,,,,
62,1686,62,0.08097649734605511,0.0,0.0,,,,,,,,,
63,1711,63,0.02437992347152127,1.0,1.0,,,,,,,,,
64,1728,64,0.028987612776254536,1.0,1.0,,,,,,,,,
65,1745,65,0.030470604894653662,1.0,1.0,0.1364801774796797,0.0,0.0,,,,,,
66,1770,66,0.01759046460230214,1.0,1.0,,,,,,,,,
67,1803,67,0.06349808895631213,0.0,0.0,,,,,,,,,
68,1844,68,0.02646373181743547,1.0,1.0,,,,,,,,,
69,1861,69,0.023471450040087806,1.0,1.0,,,,,,,,,
70,1886,70,0.01841373452654807,1.0,1.0,,,,,,,,,
71,1911,71,0.049097494716600826,1.0,1.0,,,,,,,,,
72,1936,72,0.04348923485881338,1.0,1.0,,,,,,,,,
